Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O35887|CALU_MOUSE	O35887	CALU_MOUSE	Calu	315	Mus musculus	Calumenin	1:Experimental evidence at protein level	5.71	1.0000	0.9989	2	2	2	9	9	9	     0	     0	     0			
sp|O54724|CAVN1_MOUSE	O54724	CAVN1_MOUSE	Cavin1	392	Mus musculus	Caveolae-associated protein 1	1:Experimental evidence at protein level	13.27	1.0000	0.9990	5	5	5	14	14	14	     0	     0	     0			
sp|O54931|AKAP2_MOUSE	O54931	AKAP2_MOUSE	Pakap	1089	Mus musculus	PALM2-AKAP2 fusion protein	1:Experimental evidence at protein level	2.11	1.0000	0.9833	3	2	2	6	4	4	     0	     0	     0			
sp|O55022|PGRC1_MOUSE	O55022	PGRC1_MOUSE	Pgrmc1	195	Mus musculus	Membrane-associated progesterone receptor component 1	1:Experimental evidence at protein level	11.28	1.0000	0.9981	3	3	3	10	10	10	     0	     0	     0	3M(15.9949)		
sp|O55131|SEPT7_MOUSE	O55131	SEPT7_MOUSE	Septin7	436	Mus musculus	Septin-7	1:Experimental evidence at protein level	4.82	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0			
sp|O55142|RL35A_MOUSE	O55142	RL35A_MOUSE	Rpl35a	110	Mus musculus	Large ribosomal subunit protein eL33	1:Experimental evidence at protein level	7.27	1.0000	0.9958	1	1	1	13	13	13	     0	     0	     0	2M(15.9949)		
sp|O55143|AT2A2_MOUSE	O55143	AT2A2_MOUSE	Atp2a2	1044	Mus musculus	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	1:Experimental evidence at protein level	7.28	1.0000	0.9990	7	4	7	20	9	20	     0	     0	     0	2M(15.9949), 7M(15.9949), 8M(15.9949)		
sp|O55222|ILK_MOUSE	O55222	ILK_MOUSE	Ilk	452	Mus musculus	Integrin-linked protein kinase	1:Experimental evidence at protein level	9.51	1.0000	0.9989	5	5	5	14	14	14	     0	     0	     0	1M(15.9949), 3M(15.9949), 6M(15.9949), 9M(15.9949)		
sp|O70133|DHX9_MOUSE	O70133	DHX9_MOUSE	Dhx9	1380	Mus musculus	ATP-dependent RNA helicase A	1:Experimental evidence at protein level	2.61	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0			
sp|O70209|PDLI3_MOUSE	O70209	PDLI3_MOUSE	Pdlim3	316	Mus musculus	PDZ and LIM domain protein 3	1:Experimental evidence at protein level	36.39	1.0000	0.9990	9	9	9	241	241	241	     0	     0	     0	1M(15.9949)		
sp|O70318|E41L2_MOUSE	O70318	E41L2_MOUSE	Epb41l2	988	Mus musculus	Band 4.1-like protein 2	1:Experimental evidence at protein level	3.95	1.0000	0.9990	3	3	3	8	8	8	     0	     0	     0			
sp|O70456|1433S_MOUSE	O70456	1433S_MOUSE	Sfn	248	Mus musculus	14-3-3 protein sigma	1:Experimental evidence at protein level	16.13	1.0000	0.9980	5	2	2	31	5	5	     0	     0	     0	4M(15.9949)		
sp|O88207|CO5A1_MOUSE	O88207	CO5A1_MOUSE	Col5a1	1838	Mus musculus	Collagen alpha-1(V) chain	1:Experimental evidence at protein level	3.21	1.0000	0.9990	6	3	6	19	10	19	     0	     0	     0	10M(15.9949), 3M(15.9949), 6M(15.9949)		
sp|O88322|NID2_MOUSE	O88322	NID2_MOUSE	Nid2	1403	Mus musculus	Nidogen-2	1:Experimental evidence at protein level	3.06	1.0000	0.9990	4	4	4	11	11	11	     0	     0	     0			
sp|O88342|WDR1_MOUSE	O88342	WDR1_MOUSE	Wdr1	606	Mus musculus	WD repeat-containing protein 1	1:Experimental evidence at protein level	5.45	1.0000	0.9989	4	4	4	13	13	13	     0	     0	     0			
sp|O88487|DC1I2_MOUSE	O88487	DC1I2_MOUSE	Dync1i2	612	Mus musculus	Cytoplasmic dynein 1 intermediate chain 2	1:Experimental evidence at protein level	9.97	1.0000	0.9990	5	4	5	14	10	14	     0	     0	     0	N-term(42.0106)		
sp|O88492|PLIN4_MOUSE	O88492	PLIN4_MOUSE	Plin4	1403	Mus musculus	Perilipin-4	1:Experimental evidence at protein level	14.11	1.0000	0.9989	3	3	3	8	8	8	     0	     0	     0	4M(15.9949)		
sp|O88569|ROA2_MOUSE	O88569	ROA2_MOUSE	Hnrnpa2b1	353	Mus musculus	Heterogeneous nuclear ribonucleoproteins A2/B1	1:Experimental evidence at protein level	51.84	1.0000	0.9990	16	14	14	235	227	227	     0	     0	     0	10M(15.9949), 17M(15.9949), 2M(15.9949), 3M(15.9949)		
sp|O88844|IDHC_MOUSE	O88844	IDHC_MOUSE	Idh1	414	Mus musculus	Isocitrate dehydrogenase [NADP] cytoplasmic	1:Experimental evidence at protein level	9.90	1.0000	0.9984	4	2	4	6	3	6	     0	     0	     0	12M(15.9949)		
sp|O88935|SYN1_MOUSE	O88935	SYN1_MOUSE	Syn1	706	Mus musculus	Synapsin-1	1:Experimental evidence at protein level	4.82	1.0000	0.9990	3	3	3	6	6	6	     0	     0	     0			
sp|O89086|RBM3_MOUSE	O89086	RBM3_MOUSE	Rbm3	153	Mus musculus	RNA-binding protein 3	1:Experimental evidence at protein level	15.69	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0	2M(15.9949)		
sp|P00329|ADH1_MOUSE	P00329	ADH1_MOUSE	Adh1	375	Mus musculus	Alcohol dehydrogenase 1	1:Experimental evidence at protein level	6.13	1.0000	0.9975	3	3	3	8	8	8	     0	     0	     0	5M(15.9949)		
sp|P01027|CO3_MOUSE	P01027	CO3_MOUSE	C3	1663	Mus musculus	Complement C3	1:Experimental evidence at protein level	2.41	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|P01942|HBA_MOUSE	P01942	HBA_MOUSE	Hba	142	Mus musculus	Hemoglobin subunit alpha	1:Experimental evidence at protein level	38.03	1.0000	0.9990	5	4	5	297	294	297	     0	     0	     0	1M(15.9949)		
sp|P02301|H3C_MOUSE	P02301	H3C_MOUSE	H3-5	136	Mus musculus	Histone H3.3C	3:Protein inferred from homology	24.26	1.0000	0.9988	5	0	5	32	0	32	     0	     0	     0	5M(15.9949)		sp|P68433|H31_MOUSE, sp|P84228|H32_MOUSE, sp|P84244|H33_MOUSE
sp|P02468|LAMC1_MOUSE	P02468	LAMC1_MOUSE	Lamc1	1607	Mus musculus	Laminin subunit gamma-1	1:Experimental evidence at protein level	7.16	1.0000	0.9990	13	13	13	75	75	75	     0	     0	     0			
sp|P02469|LAMB1_MOUSE	P02469	LAMB1_MOUSE	Lamb1	1786	Mus musculus	Laminin subunit beta-1	1:Experimental evidence at protein level	0.95	1.0000	0.9986	2	2	2	5	5	5	     0	     0	     0			
sp|P05064|ALDOA_MOUSE	P05064	ALDOA_MOUSE	Aldoa	364	Mus musculus	Fructose-bisphosphate aldolase A	1:Experimental evidence at protein level	30.49	1.0000	0.9990	11	3	11	87	11	87	     0	     0	     0	13C(57.0214)		
sp|P05201|AATC_MOUSE	P05201	AATC_MOUSE	Got1	413	Mus musculus	Aspartate aminotransferase, cytoplasmic	1:Experimental evidence at protein level	5.33	1.0000	0.9986	2	2	2	6	6	6	     0	     0	     0			
sp|P05784|K1C18_MOUSE	P05784	K1C18_MOUSE	Krt18	423	Mus musculus	Keratin, type I cytoskeletal 18	1:Experimental evidence at protein level	16.55	1.0000	0.9989	8	5	8	26	18	26	     0	     0	     0			
sp|P06151|LDHA_MOUSE	P06151	LDHA_MOUSE	Ldha	332	Mus musculus	L-lactate dehydrogenase A chain	1:Experimental evidence at protein level	8.73	1.0000	0.9989	3	2	3	10	9	10	     0	     0	     0			
sp|P06728|APOA4_MOUSE	P06728	APOA4_MOUSE	Apoa4	395	Mus musculus	Apolipoprotein A-IV	1:Experimental evidence at protein level	6.08	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
sp|P06745|G6PI_MOUSE	P06745	G6PI_MOUSE	Gpi	558	Mus musculus	Glucose-6-phosphate isomerase	1:Experimental evidence at protein level	8.06	1.0000	0.9990	3	3	3	24	24	24	     0	     0	     0	3M(15.9949)		
sp|P07310|KCRM_MOUSE	P07310	KCRM_MOUSE	Ckm	381	Mus musculus	Creatine kinase M-type	1:Experimental evidence at protein level	6.56	1.0000	0.9990	3	3	3	7	7	7	     0	     0	     0			
sp|P07356|ANXA2_MOUSE	P07356	ANXA2_MOUSE	Anxa2	339	Mus musculus	Annexin A2	1:Experimental evidence at protein level	26.84	1.0000	0.9990	9	9	9	21	21	21	     0	     0	     0	5M(15.9949)		
sp|P07724|ALBU_MOUSE	P07724	ALBU_MOUSE	Alb	608	Mus musculus	Albumin	1:Experimental evidence at protein level	19.90	1.0000	0.9990	13	11	13	177	171	177	     0	     0	     0	7M(15.9949)		
sp|P07758|A1AT1_MOUSE	P07758	A1AT1_MOUSE	Serpina1a	413	Mus musculus	Alpha-1-antitrypsin 1-1	1:Experimental evidence at protein level	4.36	1.0000	0.9989	2	0	2	8	0	8	     0	     0	     0	3M(15.9949)		sp|P22599|A1AT2_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q00897|A1AT4_MOUSE
sp|P07901|HS90A_MOUSE	P07901	HS90A_MOUSE	Hsp90aa1	733	Mus musculus	Heat shock protein HSP 90-alpha	1:Experimental evidence at protein level	19.37	1.0000	0.9990	15	6	15	959	195	959	     0	     0	     0	11M(15.9949), 2M(15.9949), 7M(15.9949)		
sp|P08074|CBR2_MOUSE	P08074	CBR2_MOUSE	Cbr2	244	Mus musculus	Carbonyl reductase [NADPH] 2	1:Experimental evidence at protein level	6.97	1.0000	0.9989	2	2	2	4	4	4	     0	     0	     0			
sp|P08113|ENPL_MOUSE	P08113	ENPL_MOUSE	Hsp90b1	802	Mus musculus	Endoplasmin	1:Experimental evidence at protein level	10.85	1.0000	0.9990	7	7	7	17	17	17	     0	     0	     0			
sp|P08121|CO3A1_MOUSE	P08121	CO3A1_MOUSE	Col3a1	1464	Mus musculus	Collagen alpha-1(III) chain	1:Experimental evidence at protein level	7.45	1.0000	0.9990	9	9	9	38	38	38	     0	     0	     0			
sp|P08122|CO4A2_MOUSE	P08122	CO4A2_MOUSE	Col4a2	1707	Mus musculus	Collagen alpha-2(IV) chain	1:Experimental evidence at protein level	5.33	1.0000	0.9990	8	8	8	44	44	44	     0	     0	     0	6M(15.9949), 9M(15.9949)		
sp|P08226|APOE_MOUSE	P08226	APOE_MOUSE	Apoe	311	Mus musculus	Apolipoprotein E	1:Experimental evidence at protein level	7.07	1.0000	0.9989	2	2	2	5	5	5	     0	     0	     0			
sp|P08228|SODC_MOUSE	P08228	SODC_MOUSE	Sod1	154	Mus musculus	Superoxide dismutase [Cu-Zn]	1:Experimental evidence at protein level	23.38	1.0000	0.9990	3	3	3	31	31	31	     0	     0	     0			
sp|P08249|MDHM_MOUSE	P08249	MDHM_MOUSE	Mdh2	338	Mus musculus	Malate dehydrogenase, mitochondrial	1:Experimental evidence at protein level	11.54	1.0000	0.9990	3	3	3	104	104	104	     0	     0	     0			
sp|P08752|GNAI2_MOUSE	P08752	GNAI2_MOUSE	Gnai2	355	Mus musculus	Guanine nucleotide-binding protein G(i) subunit alpha-2	1:Experimental evidence at protein level	7.32	1.0000	0.9989	2	1	2	4	1	4	     0	     0	     0			
sp|P09055|ITB1_MOUSE	P09055	ITB1_MOUSE	Itgb1	798	Mus musculus	Integrin beta-1	1:Experimental evidence at protein level	8.40	1.0000	0.9990	6	5	6	28	24	28	     0	     0	     0	10M(15.9949), 3M(15.9949), 7M(15.9949)		
sp|P09103|PDIA1_MOUSE	P09103	PDIA1_MOUSE	P4hb	509	Mus musculus	Protein disulfide-isomerase	1:Experimental evidence at protein level	12.97	1.0000	0.9990	7	7	7	23	23	23	     0	     0	     0	1M(15.9949), 8M(15.9949)		
sp|P09405|NUCL_MOUSE	P09405	NUCL_MOUSE	Ncl	707	Mus musculus	Nucleolin	1:Experimental evidence at protein level	6.51	1.0000	0.9990	5	5	5	10	10	10	     0	     0	     0			
sp|P09411|PGK1_MOUSE	P09411	PGK1_MOUSE	Pgk1	417	Mus musculus	Phosphoglycerate kinase 1	1:Experimental evidence at protein level	12.71	1.0000	0.9990	6	3	6	35	8	35	     0	     0	     0	7M(15.9949)		
sp|P0DP26|CALM1_MOUSE	P0DP26	CALM1_MOUSE	Calm1	149	Mus musculus	Calmodulin-1	1:Experimental evidence at protein level	15.44	1.0000	0.9981	2	0	2	9	0	9	     0	     0	     0			sp|P0DP27|CALM2_MOUSE, sp|P0DP28|CALM3_MOUSE
sp|P10107|ANXA1_MOUSE	P10107	ANXA1_MOUSE	Anxa1	346	Mus musculus	Annexin A1	1:Experimental evidence at protein level	13.29	1.0000	0.9990	5	3	5	29	25	29	     0	     0	     0	2M(15.9949), N-term(42.0106)		
sp|P10126|EF1A1_MOUSE	P10126	EF1A1_MOUSE	Eef1a1	462	Mus musculus	Elongation factor 1-alpha 1	1:Experimental evidence at protein level	38.96	1.0000	0.9990	13	5	13	459	59	459	     0	     0	     0	10M(15.9949), 13M(15.9949), 1M(15.9949), 2M(15.9949), 41C(57.0214), 48C(57.0214), 4M(15.9949)		
sp|P10493|NID1_MOUSE	P10493	NID1_MOUSE	Nid1	1245	Mus musculus	Nidogen-1	1:Experimental evidence at protein level	9.16	1.0000	0.9990	10	10	10	63	63	63	     0	     0	     0	6M(15.9949)		
sp|P10649|GSTM1_MOUSE	P10649	GSTM1_MOUSE	Gstm1	218	Mus musculus	Glutathione S-transferase Mu 1	1:Experimental evidence at protein level	43.12	1.0000	0.9990	11	9	11	86	71	86	     0	     0	     0	1M(15.9949), 2M(15.9949), 3M(15.9949), 9M(15.9949)		
sp|P10922|H10_MOUSE	P10922	H10_MOUSE	H1-0	194	Mus musculus	Histone H1.0	2:Experimental evidence at transcript level	21.13	1.0000	0.9990	5	5	5	19	19	19	     0	     0	     0	N-term(42.0106)		
sp|P11087|CO1A1_MOUSE	P11087	CO1A1_MOUSE	Col1a1	1453	Mus musculus	Collagen alpha-1(I) chain	1:Experimental evidence at protein level	22.44	1.0000	0.9990	31	31	31	614	614	614	     0	     0	     0	10M(15.9949), 16M(15.9949), 6M(15.9949)		
sp|P11276|FINC_MOUSE	P11276	FINC_MOUSE	Fn1	2477	Mus musculus	Fibronectin	1:Experimental evidence at protein level	7.79	1.0000	0.9990	21	21	21	87	87	87	     0	     0	     0	9M(15.9949)		
sp|P11499|HS90B_MOUSE	P11499	HS90B_MOUSE	Hsp90ab1	724	Mus musculus	Heat shock protein HSP 90-beta	1:Experimental evidence at protein level	24.86	1.0000	0.9990	18	9	9	955	191	191	     0	     0	     0	10M(15.9949)		
sp|P11679|K2C8_MOUSE	P11679	K2C8_MOUSE	Krt8	490	Mus musculus	Keratin, type II cytoskeletal 8	1:Experimental evidence at protein level	23.88	1.0000	0.9990	13	9	11	45	30	36	     0	     0	     0	1M(15.9949), 4M(15.9949)		
sp|P11688|ITA5_MOUSE	P11688	ITA5_MOUSE	Itga5	1053	Mus musculus	Integrin alpha-5	1:Experimental evidence at protein level	3.23	1.0000	0.9989	4	4	4	18	18	18	     0	     0	     0			
sp|P12970|RL7A_MOUSE	P12970	RL7A_MOUSE	Rpl7a	266	Mus musculus	Large ribosomal subunit protein eL8	1:Experimental evidence at protein level	19.92	1.0000	0.9990	6	6	6	31	31	31	     0	     0	     0			
sp|P13020|GELS_MOUSE	P13020	GELS_MOUSE	Gsn	780	Mus musculus	Gelsolin	1:Experimental evidence at protein level	15.26	1.0000	0.9990	13	8	13	43	27	43	     0	     0	     0	14M(15.9949), 5M(15.9949), 6M(15.9949)		
sp|P14069|S10A6_MOUSE	P14069	S10A6_MOUSE	S100a6	89	Mus musculus	Protein S100-A6	1:Experimental evidence at protein level	30.34	1.0000	0.9990	5	5	5	27	27	27	     0	     0	     0	2M(15.9949)		
sp|P14115|RL27A_MOUSE	P14115	RL27A_MOUSE	Rpl27a	148	Mus musculus	Large ribosomal subunit protein uL15	1:Experimental evidence at protein level	32.43	1.0000	0.9990	4	4	4	54	54	54	     0	     0	     0	5C(57.0214)		
sp|P14131|RS16_MOUSE	P14131	RS16_MOUSE	Rps16	146	Mus musculus	Small ribosomal subunit protein uS9	1:Experimental evidence at protein level	14.38	1.0000	0.9990	2	2	2	27	27	27	     0	     0	     0			
sp|P14148|RL7_MOUSE	P14148	RL7_MOUSE	Rpl7	270	Mus musculus	Large ribosomal subunit protein uL30	1:Experimental evidence at protein level	34.07	1.0000	0.9990	10	10	10	70	70	70	     0	     0	     0	5C(57.0214), 6M(15.9949), N-term(42.0106)		
sp|P14206|RSSA_MOUSE	P14206	RSSA_MOUSE	Rpsa	295	Mus musculus	Small ribosomal subunit protein uS2	1:Experimental evidence at protein level	15.25	1.0000	0.9990	3	3	3	13	13	13	     0	     0	     0			
sp|P14602|HSPB1_MOUSE	P14602	HSPB1_MOUSE	Hspb1	209	Mus musculus	Heat shock protein beta-1	1:Experimental evidence at protein level	33.49	1.0000	0.9990	8	8	8	127	127	127	     0	     0	     0			
sp|P14733|LMNB1_MOUSE	P14733	LMNB1_MOUSE	Lmnb1	588	Mus musculus	Lamin-B1	1:Experimental evidence at protein level	6.29	1.0000	0.9989	4	3	4	12	9	12	     0	     0	     0	N-term(42.0106)		
sp|P14824|ANXA6_MOUSE	P14824	ANXA6_MOUSE	Anxa6	673	Mus musculus	Annexin A6	1:Experimental evidence at protein level	4.01	1.0000	0.9988	3	3	3	7	7	7	     0	     0	     0			
sp|P14873|MAP1B_MOUSE	P14873	MAP1B_MOUSE	Map1b	2464	Mus musculus	Microtubule-associated protein 1B	1:Experimental evidence at protein level	1.95	1.0000	0.9990	5	4	5	14	11	14	     0	     0	     0			
sp|P15331|PERI_MOUSE	P15331	PERI_MOUSE	Prph	475	Mus musculus	Peripherin	1:Experimental evidence at protein level	18.95	1.0000	0.9990	10	8	8	27	23	23	     0	     0	     0			
sp|P15626|GSTM2_MOUSE	P15626	GSTM2_MOUSE	Gstm2	218	Mus musculus	Glutathione S-transferase Mu 2	1:Experimental evidence at protein level	11.01	1.0000	0.9946	3	1	1	22	7	7	     0	     0	     0	1M(15.9949)		
sp|P15864|H12_MOUSE	P15864	H12_MOUSE	H1-2	212	Mus musculus	Histone H1.2	1:Experimental evidence at protein level	46.70	1.0000	0.9990	14	3	14	143	9	143	     0	     0	     0	N-term(42.0106)		
sp|P16015|CAH3_MOUSE	P16015	CAH3_MOUSE	Ca3	260	Mus musculus	Carbonic anhydrase 3	1:Experimental evidence at protein level	19.62	1.0000	0.9990	4	4	4	21	21	21	     0	     0	     0			
sp|P16045|LEG1_MOUSE	P16045	LEG1_MOUSE	Lgals1	135	Mus musculus	Galectin-1	1:Experimental evidence at protein level	11.85	1.0000	0.9983	2	2	2	8	8	8	     0	     0	     0			
sp|P16125|LDHB_MOUSE	P16125	LDHB_MOUSE	Ldhb	334	Mus musculus	L-lactate dehydrogenase B chain	1:Experimental evidence at protein level	12.57	1.0000	0.9990	4	4	4	12	12	12	     0	     0	     0			
sp|P16546|SPTN1_MOUSE	P16546	SPTN1_MOUSE	Sptan1	2472	Mus musculus	Spectrin alpha chain, non-erythrocytic 1	1:Experimental evidence at protein level	10.32	1.0000	0.9990	21	21	21	139	139	139	     0	     0	     0	1M(15.9949), 4M(15.9949), 9M(15.9949)		
sp|P16858|G3P_MOUSE	P16858	G3P_MOUSE	Gapdh	333	Mus musculus	Glyceraldehyde-3-phosphate dehydrogenase	1:Experimental evidence at protein level	41.14	1.0000	0.9990	16	15	16	414	403	414	     0	     0	     0	12M(15.9949), 13M(15.9949), 15M(15.9949), 4M(15.9949), 5M(15.9949), 8M(15.9949)		
sp|P17156|HSP72_MOUSE	P17156	HSP72_MOUSE	Hspa2	633	Mus musculus	Heat shock-related 70 kDa protein 2	1:Experimental evidence at protein level	15.64	1.0000	0.9990	10	2	2	37	4	4	     0	     0	     0			
sp|P17182|ENOA_MOUSE	P17182	ENOA_MOUSE	Eno1	434	Mus musculus	Alpha-enolase	1:Experimental evidence at protein level	26.04	1.0000	0.9990	9	9	9	124	124	124	     0	     0	     0	5M(15.9949), 8M(15.9949)		
sp|P17225|PTBP1_MOUSE	P17225	PTBP1_MOUSE	Ptbp1	555	Mus musculus	Polypyrimidine tract-binding protein 1	1:Experimental evidence at protein level	4.68	1.0000	0.9976	2	1	2	3	1	3	     0	     0	     0	12C(57.0214), 13C(57.0214)		
sp|P17710|HXK1_MOUSE	P17710	HXK1_MOUSE	Hk1	974	Mus musculus	Hexokinase-1	1:Experimental evidence at protein level	1.64	1.0000	0.9960	2	1	2	7	3	7	     0	     0	     0	1M(15.9949)		
sp|P17742|PPIA_MOUSE	P17742	PPIA_MOUSE	Ppia	164	Mus musculus	Peptidyl-prolyl cis-trans isomerase A	1:Experimental evidence at protein level	35.37	1.0000	0.9990	8	1	8	238	13	238	     0	     0	     0	11M(15.9949), 3M(15.9949), 5M(15.9949), 9M(15.9949)		
sp|P17751|TPIS_MOUSE	P17751	TPIS_MOUSE	Tpi1	249	Mus musculus	Triosephosphate isomerase	1:Experimental evidence at protein level	10.04	1.0000	0.9990	2	2	2	7	7	7	     0	     0	     0			
sp|P17879|HS71B_MOUSE	P17879	HS71B_MOUSE	Hspa1b	642	Mus musculus	Heat shock 70 kDa protein 1B	1:Experimental evidence at protein level	21.96	1.0000	0.9990	14	0	9	50	0	38	     0	     0	     0	10M(15.9949), 1M(15.9949), 20M(15.9949), 7C(57.0214)		sp|Q61696|HS71A_MOUSE
sp|P18419|SVS4_MOUSE	P18419	SVS4_MOUSE	Svs4	113	Mus musculus	Seminal vesicle secretory protein 4	1:Experimental evidence at protein level	15.04	1.0000	0.9983	2	2	2	5	5	5	     0	     0	     0			
sp|P19001|K1C19_MOUSE	P19001	K1C19_MOUSE	Krt19	403	Mus musculus	Keratin, type I cytoskeletal 19	1:Experimental evidence at protein level	22.33	1.0000	0.9990	10	5	7	26	12	18	     0	     0	     0	3M(15.9949), 6M(15.9949)		
sp|P19157|GSTP1_MOUSE	P19157	GSTP1_MOUSE	Gstp1	210	Mus musculus	Glutathione S-transferase P 1	1:Experimental evidence at protein level	28.10	1.0000	0.9990	5	1	5	24	4	24	     0	     0	     0			
sp|P19324|SERPH_MOUSE	P19324	SERPH_MOUSE	Serpinh1	417	Mus musculus	Serpin H1	1:Experimental evidence at protein level	6.95	1.0000	0.9990	4	4	4	292	292	292	     0	     0	     0			
sp|P19536|COX5B_MOUSE	P19536	COX5B_MOUSE	Cox5b	128	Mus musculus	Cytochrome c oxidase subunit 5B, mitochondrial	1:Experimental evidence at protein level	6.25	1.0000	0.9963	1	1	1	6	6	6	     0	     0	     0	3M(15.9949)		
sp|P19783|COX41_MOUSE	P19783	COX41_MOUSE	Cox4i1	169	Mus musculus	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	1:Experimental evidence at protein level	16.57	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0	12M(15.9949)		
sp|P20029|BIP_MOUSE	P20029	BIP_MOUSE	Hspa5	655	Mus musculus	Endoplasmic reticulum chaperone BiP	1:Experimental evidence at protein level	22.60	1.0000	0.9990	13	11	11	62	56	56	     0	     0	     0	11M(15.9949)		
sp|P20065|TYB4_MOUSE	P20065	TYB4_MOUSE	Tmsb4x	50	Mus musculus	Thymosin beta-4	1:Experimental evidence at protein level	38.00	1.0000	0.9990	3	2	3	13	11	13	     0	     0	     0			
sp|P20152|VIME_MOUSE	P20152	VIME_MOUSE	Vim	466	Mus musculus	Vimentin	1:Experimental evidence at protein level	55.58	1.0000	0.9990	30	25	27	358	316	320	     0	     0	     0	13M(15.9949), 1M(15.9949), 5M(15.9949), 7M(15.9949), 8M(15.9949), 9M(15.9949)		
sp|P21107|TPM3_MOUSE	P21107	TPM3_MOUSE	Tpm3	285	Mus musculus	Tropomyosin alpha-3 chain	1:Experimental evidence at protein level	27.02	1.0000	0.9974	11	2	2	249	6	6	     0	     0	     0			
